类型,代码,名称,5日经典阻力位3,5日斐波那契阻力位3,5日经典阻力位2,5日斐波那契阻力位2,5日经典阻力位1,5日斐波那契阻力位1,5日枢轴点,5日经典支撑位1,5日斐波那契支撑位1,5日经典支撑位2,5日斐波那契支撑位2,5日经典支撑位3,5日斐波那契支撑位3,5日经典预期波动率1,5日斐波那契预期波动率1,5日经典预期波动率2,5日斐波那契预期波动率2,5日经典预期波动率3,5日斐波那契预期波动率3
A股ETF,513820,港股红利ETF,1.132,1.119,1.119,1.104,1.093,1.095,1.08,1.054,1.065,1.041,1.056,1.015,1.041,3.612,2.76,7.224,4.465,10.837,7.224
A股ETF,513880,日经225ETF,1.386,1.373,1.373,1.363,1.358,1.356,1.345,1.33,1.335,1.317,1.328,1.302,1.317,2.081,1.59,4.163,2.572,6.244,4.163
A股ETF,513950,恒生红利ETF,1.276,1.249,1.249,1.224,1.21,1.208,1.183,1.144,1.158,1.117,1.142,1.078,1.117,5.579,4.262,11.158,6.896,16.737,11.158
A股ETF,513130,恒生科技ETF,0.691,0.669,0.669,0.649,0.638,0.637,0.616,0.585,0.596,0.563,0.584,0.532,0.563,8.599,6.57,17.198,10.629,25.798,17.198
A股ETF,518880,黄金ETF,6.191,6.122,6.122,6.073,6.062,6.043,5.993,5.933,5.944,5.864,5.914,5.804,5.864,2.152,1.644,4.305,2.66,6.457,4.305
A股ETF,515220,煤炭ETF,1.301,1.283,1.283,1.264,1.252,1.253,1.234,1.203,1.215,1.185,1.204,1.154,1.185,3.971,3.034,7.942,4.908,11.912,7.942
A股ETF,516000,数据ETF,1.018,0.997,0.997,0.976,0.961,0.962,0.94,0.904,0.919,0.883,0.905,0.847,0.883,6.062,4.631,12.123,7.492,18.185,12.123
A股ETF,516010,游戏ETF,1.261,1.222,1.222,1.194,1.189,1.178,1.15,1.117,1.122,1.078,1.106,1.045,1.078,6.261,4.783,12.522,7.738,18.783,12.522
A股ETF,560350,中证A50ETF,1.208,1.188,1.188,1.167,1.152,1.153,1.132,1.096,1.111,1.076,1.097,1.04,1.076,4.947,3.78,9.894,6.114,14.841,9.894
A股ETF,563300,中证2000ETF,1.217,1.187,1.187,1.165,1.16,1.152,1.13,1.103,1.108,1.073,1.095,1.046,1.073,5.044,3.854,10.088,6.235,15.133,10.088
A股ETF,588000,科创50ETF,1.171,1.144,1.144,1.114,1.093,1.096,1.066,1.015,1.036,0.988,1.018,0.937,0.988,7.317,5.59,14.634,9.044,21.951,14.634
A股,600036,招商银行,40.143,39.567,39.567,38.913,38.433,38.51,37.857,36.723,37.203,36.147,36.8,35.013,36.147,4.517,3.451,9.034,5.583,13.551,9.034
A股,600900,长江电力,30.04,29.46,29.46,29.097,29.09,28.873,28.51,28.14,28.147,27.56,27.923,27.19,27.56,3.332,2.546,6.664,4.119,9.996,6.664
A股,601127,赛力斯,164.217,157.053,157.053,149.18,143.607,144.316,136.443,122.997,128.57,115.833,123.706,102.387,115.833,15.105,11.54,30.21,18.67,45.316,30.21
A股,300750,宁德时代,294.64,288.07,288.07,281.542,277.55,277.508,270.98,260.46,264.452,253.89,260.418,243.37,253.89,6.307,4.818,12.613,7.795,18.92,12.613
A股,000333,美的集团,82.02,79.34,79.34,77.296,76.67,76.034,73.99,71.32,71.946,68.64,70.684,65.97,68.64,7.231,5.524,14.461,8.937,21.692,14.461
港股,00386,中国石油化工股份,4.713,4.607,4.607,4.5,4.433,4.434,4.327,4.153,4.22,4.047,4.154,3.873,4.047,6.471,4.944,12.943,7.999,19.414,12.943
港股,00700,腾讯控股,449.933,440.467,440.467,430.993,425.133,425.14,415.667,400.333,406.193,390.867,400.34,375.533,390.867,5.966,4.558,11.933,7.374,17.899,11.933
港股,01810,小米集团-W,35.217,33.683,33.683,32.652,32.517,32.015,30.983,29.817,29.952,28.283,29.315,27.117,28.283,8.714,6.658,17.429,10.771,26.143,17.429
港股,03690,美团-W,201.367,192.133,192.133,182.965,177.367,177.301,168.133,153.367,158.965,144.133,153.301,129.367,144.133,14.274,10.906,28.549,17.643,42.823,28.549
港股,07233,南方两倍做多沪深300,4.749,4.549,4.549,4.333,4.183,4.2,3.983,3.617,3.767,3.417,3.634,3.051,3.417,14.209,10.856,28.418,17.563,42.628,28.418
港股,07226,南方两倍做多恒科,5.609,5.305,5.305,4.981,4.763,4.782,4.459,3.917,4.135,3.613,3.936,3.071,3.613,18.974,14.496,37.949,23.452,56.923,37.949
港股,07552,南方两倍做空恒科,4.001,3.639,3.639,3.409,3.399,3.267,3.037,2.797,2.807,2.435,2.665,2.195,2.435,19.824,15.146,39.649,24.503,59.473,39.649
美股,GLD,SPDR Gold Shares,255.933,253.597,253.597,250.926,248.943,249.277,246.607,241.953,243.936,239.617,242.287,234.963,239.617,2.834,2.166,5.669,3.503,8.503,5.669
美股,UGL,ProShares Ultra Gold,106.663,104.327,104.327,101.672,99.713,100.032,97.377,92.763,94.722,90.427,93.082,85.813,90.427,7.137,5.453,14.274,8.822,21.412,14.274
美股,GLL,ProShares UltraShort Gold,18.797,18.033,18.033,17.594,17.647,17.323,16.883,16.497,16.444,15.733,16.173,15.347,15.733,6.811,5.204,13.623,8.419,20.434,13.623
美股,VOO,Vanguard S&P 500 Value ETF,564.63,562.01,562.01,559.787,558.81,558.413,556.19,552.99,553.967,550.37,552.593,547.17,550.37,1.046,0.799,2.093,1.293,3.139,2.093
美股,UPRO,ProShares UltraPro S&P500,102.19,100.9,100.9,99.75,99.18,99.04,97.89,96.17,96.74,94.88,96.03,93.16,94.88,3.075,2.349,6.15,3.801,9.225,6.15
美股,SPXU,ProShares UltraPro Short S&P500,22.177,21.793,21.793,21.541,21.517,21.385,21.133,20.857,20.881,20.473,20.725,20.197,20.473,3.123,2.386,6.246,3.86,9.369,6.246
美股,QQQ,Invesco QQQ Trust,550.083,541.625,541.625,536.274,536.077,532.969,527.619,522.071,522.268,513.613,518.963,508.065,513.613,2.655,2.028,5.309,3.281,7.964,5.309
美股,TQQQ,ProShares UltraPro QQQ,98.814,94.792,94.792,92.226,92.096,90.64,88.074,85.378,85.508,81.356,83.922,78.66,81.356,7.628,5.828,15.255,9.428,22.883,15.255
美股,SQQQ,ProShares UltraPro Short QQQ,32.768,31.825,31.825,30.911,30.377,30.347,29.434,27.986,28.52,27.043,27.956,25.595,27.043,8.123,6.206,16.247,10.04,24.37,16.247
美股,YMAG,YieldMax Magnificent 7 Fund of Option Income ETFs,20.867,20.583,20.583,20.364,20.292,20.228,20.008,19.717,19.789,19.433,19.653,19.142,19.433,2.874,2.196,5.748,3.552,8.621,5.748
美股,OARK,YieldMax ARKK Option Income Strategy ETF,11.7,11.51,11.51,11.361,11.31,11.269,11.12,10.92,10.971,10.73,10.879,10.53,10.73,3.507,2.679,7.014,4.335,10.522,7.014
美股,KWEB,KraneShares CSI China Internet ETF,37.343,36.087,36.087,34.771,33.898,33.958,32.642,30.453,31.326,29.197,30.513,27.008,29.197,10.554,8.063,21.108,13.045,31.662,21.108
美股,CWEB,Direxion Daily CSI China Internet Bull 2X Shares,50.153,47.127,47.127,43.945,41.823,41.979,38.797,33.493,35.615,30.467,33.649,25.163,30.467,21.471,16.404,42.942,26.538,64.413,42.942
美股,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,31.4,30.5,30.5,29.503,28.79,28.887,27.89,26.18,26.893,25.28,26.277,23.57,25.28,9.358,7.15,18.716,11.567,28.075,18.716
美股,CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares,20.188,19.137,19.137,17.966,17.123,17.242,16.072,14.058,14.901,13.007,14.177,10.993,13.007,19.071,14.57,38.142,23.572,57.212,38.142
美股,YINN,Direxion Daily FTSE China Bull 3X Shares,43.852,40.636,40.636,37.202,34.863,35.081,31.647,25.874,28.213,22.658,26.092,16.885,22.658,28.404,21.701,56.808,35.107,85.212,56.808
